epoch, wall, LR,training_loss_force_constant,training_loss_e,training_loss,training_f_mae,training_e/N_mae,training_force_constant_mae,validation_loss_force_constant,validation_loss_e,validation_loss,validation_f_mae,validation_e/N_mae,validation_force_constant_mae
       106, 3395.194,    0.005,           1025.8,           113.52,           1139.3,         0.97,         7.95,     1.03e+03,           1076.6,           6.6292,           1083.2,         2.17,         2.09,     1.08e+03
       107, 3426.588,    0.005,            962.2,           202.56,           1164.8,            1,         11.2,          962,           1051.7,           8.4114,           1060.1,         2.17,         2.31,     1.05e+03
       108, 3457.911,    0.005,           1256.1,            30.04,           1286.2,         1.14,         4.53,     1.26e+03,           1072.6,           6.9274,           1079.5,         2.14,         2.13,     1.07e+03
       109, 3489.248,    0.005,           1162.4,           27.073,           1189.5,         1.13,         3.92,     1.16e+03,           1074.2,           6.3011,           1080.5,         2.08,         2.08,     1.07e+03
       110, 3520.614,    0.005,           1072.2,           79.582,           1151.8,         1.11,         7.62,     1.07e+03,           1107.6,           6.4325,           1114.1,         2.05,         1.89,     1.11e+03
       111, 3551.988,    0.005,           984.72,           214.48,           1199.2,         1.08,         12.5,          985,           1053.9,           6.0447,           1059.9,            2,         1.78,     1.05e+03
       112, 3583.305,    0.005,             1154,           73.733,           1227.7,         1.17,          6.3,     1.15e+03,           958.83,           5.7131,           964.55,         1.97,          1.7,          959
       113, 3614.611,    0.005,           1028.9,           107.06,           1135.9,         1.12,         8.15,     1.03e+03,           964.56,           4.2588,           968.82,         1.96,          1.6,          965
       114, 3645.893,    0.005,           1267.4,           72.847,           1340.3,          1.1,         6.67,     1.27e+03,            948.8,           3.5837,           952.39,         2.06,         1.41,          949
       115, 3677.164,    0.005,           1618.1,           45.067,           1663.2,         1.06,         4.82,     1.62e+03,           932.27,           4.4611,           936.73,         2.06,         1.53,          932
       116, 3708.431,    0.005,           1286.6,           30.685,           1317.2,         1.12,          4.2,     1.29e+03,           990.93,           4.7981,           995.73,         2.02,         1.48,          991
       117, 3739.728,    0.005,           907.77,           14.253,           922.02,         1.05,         3.04,          908,           888.44,           4.6426,           893.09,          1.9,         1.53,          888
       118, 3771.016,    0.005,           1028.1,           147.99,           1176.1,        0.921,          9.7,     1.03e+03,           871.63,           6.0505,           877.68,         1.84,         2.13,          872
       119, 3802.325,    0.005,            899.4,           164.12,           1063.5,        0.919,           10,          899,           855.47,           8.2208,           863.69,         1.78,         2.06,          855
       120, 3833.588,    0.005,           1113.9,           196.86,           1310.8,         0.98,         11.2,     1.11e+03,           896.45,           7.0051,           903.45,         1.86,         1.65,          896
       121, 3864.883,    0.005,           916.55,           117.44,             1034,        0.924,         7.79,          917,           856.99,           7.6219,           864.61,         1.83,         1.55,          857
       122, 3896.207,    0.005,           795.13,           49.067,           844.19,        0.995,         5.72,          795,           842.76,             6.64,            849.4,         1.85,         1.72,          843
       123, 3927.543,    0.005,           736.23,           63.935,           800.17,        0.862,         6.73,          736,           817.68,           5.9342,           823.62,         1.79,         1.36,          818
       124, 3958.885,    0.005,           846.88,            382.8,           1229.7,        0.981,         15.8,          847,           818.44,           7.5216,           825.96,         1.78,         2.37,          818
       125, 3990.188,    0.005,           912.25,           174.23,           1086.5,        0.881,         10.3,          912,           813.51,           4.6304,           818.14,         1.77,         1.62,          814
       126, 4021.496,    0.005,           871.44,           90.178,           961.61,         0.97,         7.11,          871,            832.2,           3.5933,            835.8,         1.79,         1.74,          832
       127, 4052.808,    0.005,           1071.4,           371.08,           1442.4,        0.784,           17,     1.07e+03,           845.16,           1.3773,           846.54,         1.74,        0.838,          845
       128, 4084.122,    0.005,           813.44,           174.83,           988.27,        0.743,         11.1,          813,           815.28,           2.6693,           817.95,         1.69,         1.58,          815
       129, 4115.457,    0.005,           749.76,           38.899,           788.66,        0.833,         5.22,          750,           800.82,             2.56,           803.38,         1.67,         1.18,          801
       130, 4146.755,    0.005,            738.3,           26.577,           764.88,        0.819,            4,          738,           780.99,           3.2861,           784.28,         1.65,          1.5,          781
