epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    2,     7,           2255.4,           1008.3,           1247.2,          0.11536,           35.315,           1008.3
    2,     8,           1653.8,           1023.6,           630.27,           1.2828,           25.105,           1023.6
    2,     9,           1629.8,           1608.9,           20.843,          0.44654,           4.5654,           1608.9
    2,    10,           1919.7,           1899.2,           20.435,          0.55412,           4.5205,           1899.2
    2,    11,           1611.6,           1487.8,           123.74,           0.3368,           11.124,           1487.8
    2,    12,             1016,           990.85,           25.162,          0.10574,           5.0161,           990.85
    2,    13,           1523.3,           1503.6,           19.743,          0.45631,           4.4433,           1503.6
    2,    14,           1487.5,           1413.2,           74.294,          0.80934,           8.6194,           1413.2
    2,    15,           1506.7,           1431.4,           75.285,          0.68829,           8.6767,           1431.4
    2,    16,           456.84,            456.6,          0.24005,          0.14723,          0.48995,            456.6
    2,    17,           1912.8,           1681.7,           231.15,           0.5682,           15.204,           1681.7
    2,    18,           1583.4,             1508,           75.454,          0.29542,           8.6864,             1508
    2,    19,           1228.9,           1216.9,           11.942,          0.11907,           3.4557,           1216.9
    2,    20,           2523.7,           2475.5,           48.163,          0.91567,           6.9399,           2475.5
    2,    21,           1348.9,           1344.4,           4.4336,          0.27021,           2.1056,           1344.4
    2,    22,           912.73,           655.85,           256.88,          0.12031,           16.027,           655.85
    2,    23,             1306,           1286.4,           19.558,          0.39057,           4.4225,           1286.4
    2,    24,           1767.2,           1566.7,           200.53,          0.03468,           14.161,           1566.7
    2,    25,           2091.8,           2087.4,           4.3788,          0.47586,           2.0926,           2087.4
    2,    26,           1657.7,           1628.6,            29.18,          0.38512,           5.4019,           1628.6
    2,    27,           1431.7,           1358.8,           72.914,          0.43445,            8.539,           1358.8
    2,    28,           813.86,           787.13,           26.723,          0.46009,           5.1695,           787.13
    2,    29,           1362.9,           1359.4,           3.5298,          0.37077,           1.8788,           1359.4
    2,    30,           1543.8,           1474.2,            69.61,          0.47023,           8.3433,           1474.2
    2,    31,           1737.1,             1716,           21.041,          0.29641,            4.587,             1716
    2,    32,           710.61,           451.09,           259.52,       5.1033e-07,            16.11,           451.09
    2,    33,           1482.6,           1482.6,          0.04414,          0.29839,           0.2101,           1482.6
    2,    34,           1559.4,           1437.2,           122.21,          0.27282,           11.055,           1437.2
    2,    35,           3487.9,           38.143,           3449.8,       7.5076e-05,           58.735,           38.143
    2,    36,           408.19,           403.43,           4.7502,          0.51929,           2.1795,           403.43
    2,    37,           1256.1,           1012.7,           243.32,           1.0373,           15.599,           1012.7
    2,    38,           1383.5,           1379.8,           3.6531,          0.44811,           1.9113,           1379.8
    2,    39,           1511.2,           1441.7,            69.49,          0.40749,           8.3361,           1441.7
    2,    40,            953.6,           931.76,           21.838,           0.2482,           4.6732,           931.76
    2,    41,           1642.8,           1621.3,           21.466,          0.20179,           4.6332,           1621.3
    2,    42,           1590.4,             1569,           21.392,          0.40104,           4.6251,             1569
    2,    43,           669.62,           668.32,           1.2964,          0.42679,           1.1386,           668.32
    2,    44,           1231.6,           1228.1,           3.5238,          0.37758,           1.8772,           1228.1
    2,    45,           4655.9,           4584.9,           70.926,          0.25528,           8.4218,           4584.9
    2,    46,           643.31,           639.82,           3.4872,          0.17982,           1.8674,           639.82
    2,    47,           1458.9,           1455.8,           3.1172,          0.38754,           1.7656,           1455.8
    2,    48,           1262.2,           1239.8,           22.404,          0.32003,           4.7333,           1239.8
    2,    49,           1429.7,           1361.4,           68.303,          0.36825,           8.2645,           1361.4
    2,    50,             1807,           1778.4,           28.548,         0.090825,           5.3431,           1778.4
    2,    51,           1164.2,             1142,           22.217,           0.2714,           4.7135,             1142
    2,    52,           1120.7,           1095.6,           25.051,           0.3855,           5.0051,           1095.6
    2,    53,           1369.6,           619.97,           749.62,          0.86917,           27.379,           619.97
    2,    54,           588.51,           492.59,           95.917,       5.9477e-06,           9.7937,           492.59
    2,    55,           1726.5,           1722.9,            3.598,          0.36033,           1.8969,           1722.9
    2,    56,           1555.3,           1486.9,           68.432,          0.39929,           8.2724,           1486.9
    2,    57,            557.2,           536.28,            20.92,          0.19355,           4.5738,           536.28
    2,    58,           1459.6,           1456.5,            3.169,           0.3963,           1.7802,           1456.5
    2,    59,           1478.8,           1456.7,           22.077,          0.41054,           4.6986,           1456.7
    2,    60,           1533.4,             1466,           67.408,          0.31892,           8.2102,             1466
    2,    61,           1924.8,           1794.6,           130.15,          0.12887,           11.408,           1794.6
    2,    62,           1466.9,           1401.4,           65.561,           0.5128,            8.097,           1401.4
    2,    63,             1440,           1437.6,           2.4554,          0.26666,            1.567,           1437.6
    2,    64,           1573.8,           1508.2,           65.544,          0.31069,           8.0959,           1508.2
    2,    65,           1659.8,           1631.7,           28.066,         0.088234,           5.2977,           1631.7
    2,    66,           1669.8,           1454.2,           215.54,           1.8532,           14.681,           1454.2
    2,    67,           2030.7,             1984,            46.75,          0.28366,           6.8374,             1984
    2,    68,           1880.6,           1877.8,           2.8175,            0.361,           1.6785,           1877.8
